participantNum,fileNum,arousal,valence,dominance
10,0,3,5,6
10,1,4,5,5
10,2,6,4,6
10,3,5,4,5
10,4,3,5,5
10,5,5,3,4
10,6,6,3,5
10,7,5,4,5
10,8,4,5,5
11,0,5,8,7
11,1,5,7,6
11,2,5,7,6
11,3,6,7,7
11,4,5,7,7
11,5,5,7,6
11,6,5,6,6
11,7,5,6,6
11,8,5,6,6
12,0,5,7,5
12,1,5,6,4
12,2,4,6,5
12,3,5,7,5
12,4,3,8,5
12,5,6,5,5
12,6,5,6,5
12,7,6,5,5
12,8,3,7,6
13,0,6,4,4
13,1,5,4,4
13,2,4,3,4
13,3,6,3,4
13,4,4,4,4
13,5,5,4,4
13,6,5,3,3
13,7,4,3,2
13,8,3,3,3
14,0,4,5,6
14,1,5,5,5
14,2,6,5,5
14,3,6,4,5
14,4,4,5,5
14,5,7,5,5
14,6,7,4,5
14,7,6,4,5
14,8,3,5,5
15,0,4,6,7
15,1,6,6,5
15,2,5,6,6
15,3,5,6,5
15,4,3,6,6
15,5,7,5,5
15,6,6,5,5
15,7,5,5,5
15,8,3,6,6
16,0,6,7,5
16,1,7,6,4
16,2,6,6,4
16,3,7,6,4
16,4,7,5,4
16,5,8,5,4
16,6,8,4,3
16,7,8,4,3
16,8,8,4,4
17,0,7,6,5
17,1,5,6,4
17,2,4,7,5
17,3,4,6,5
17,4,3,7,6
17,5,5,4,4
17,6,6,4,4
17,7,4,3,3
17,8,3,5,5
18,0,3,8,4
18,1,4,7,4
18,2,4,6,4
18,3,3,6,5
18,4,3,6,5
18,5,3,5,5
18,6,2,4,6
18,7,3,3,6
18,8,3,5,4
19,0,6,7,7
19,1,7,6,6
19,2,5,6,6
19,3,3,6,6
19,4,3,6,7
19,5,3,4,5
19,6,3,5,5
19,7,3,5,5
19,8,3,6,6
2,0,5,5,4
2,1,5,4,4
2,2,5,5,4
2,3,5,4,3
2,4,4,5,6
2,5,5,5,5
2,6,6,6,6
2,7,6,6,6
2,8,5,5,5
20,0,6,5,5
20,1,5,4,5
20,2,4,5,5
20,3,4,4,4
20,4,3,6,5
20,5,4,5,5
20,6,3,4,5
20,7,3,5,4
20,8,3,6,4
21,0,3,8,8
21,1,3,8,8
21,2,3,8,8
21,3,3,8,7
21,4,2,8,8
21,5,4,7,7
21,6,3,7,7
21,7,3,7,7
21,8,2,8,8
22,0,3,6,6
22,1,2,6,7
22,2,2,6,6
22,3,2,7,7
22,4,5,6,5
22,5,3,7,7
22,6,2,7,7
22,7,2,7,8
22,8,3,6,6
23,0,4,7,5
23,1,4,7,7
