participantNum,fileNum,name@STRING,F0semitoneFrom27.5Hz_sma3nz_amean@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_stddevNorm@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_percentile20.0@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_percentile50.0@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_percentile80.0@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope@NUMERIC,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope@NUMERIC,loudness_sma3_amean@NUMERIC,loudness_sma3_stddevNorm@NUMERIC,loudness_sma3_percentile20.0@NUMERIC,loudness_sma3_percentile50.0@NUMERIC,loudness_sma3_percentile80.0@NUMERIC,loudness_sma3_pctlrange0-2@NUMERIC,loudness_sma3_meanRisingSlope@NUMERIC,loudness_sma3_stddevRisingSlope@NUMERIC,loudness_sma3_meanFallingSlope@NUMERIC,loudness_sma3_stddevFallingSlope@NUMERIC,jitterLocal_sma3nz_amean@NUMERIC,jitterLocal_sma3nz_stddevNorm@NUMERIC,shimmerLocaldB_sma3nz_amean@NUMERIC,shimmerLocaldB_sma3nz_stddevNorm@NUMERIC,HNRdBACF_sma3nz_amean@NUMERIC,HNRdBACF_sma3nz_stddevNorm@NUMERIC,logRelF0-H1-H2_sma3nz_amean@NUMERIC,logRelF0-H1-H2_sma3nz_stddevNorm@NUMERIC,logRelF0-H1-A3_sma3nz_amean@NUMERIC,logRelF0-H1-A3_sma3nz_stddevNorm@NUMERIC,F1frequency_sma3nz_amean@NUMERIC,F1frequency_sma3nz_stddevNorm@NUMERIC,F1bandwidth_sma3nz_amean@NUMERIC,F1bandwidth_sma3nz_stddevNorm@NUMERIC,F1amplitudeLogRelF0_sma3nz_amean@NUMERIC,F1amplitudeLogRelF0_sma3nz_stddevNorm@NUMERIC,F2frequency_sma3nz_amean@NUMERIC,F2frequency_sma3nz_stddevNorm@NUMERIC,F2amplitudeLogRelF0_sma3nz_amean@NUMERIC,F2amplitudeLogRelF0_sma3nz_stddevNorm@NUMERIC,F3frequency_sma3nz_amean@NUMERIC,F3frequency_sma3nz_stddevNorm@NUMERIC,F3amplitudeLogRelF0_sma3nz_amean@NUMERIC,F3amplitudeLogRelF0_sma3nz_stddevNorm@NUMERIC,alphaRatioV_sma3nz_amean@NUMERIC,alphaRatioV_sma3nz_stddevNorm@NUMERIC,hammarbergIndexV_sma3nz_amean@NUMERIC,hammarbergIndexV_sma3nz_stddevNorm@NUMERIC,slopeV0-500_sma3nz_amean@NUMERIC,slopeV0-500_sma3nz_stddevNorm@NUMERIC,slopeV500-1500_sma3nz_amean@NUMERIC,slopeV500-1500_sma3nz_stddevNorm@NUMERIC,alphaRatioUV_sma3nz_amean@NUMERIC,hammarbergIndexUV_sma3nz_amean@NUMERIC,slopeUV0-500_sma3nz_amean@NUMERIC,slopeUV500-1500_sma3nz_amean@NUMERIC,loudnessPeaksPerSec@NUMERIC,VoicedSegmentsPerSec@NUMERIC,MeanVoicedSegmentLengthSec@NUMERIC,StddevVoicedSegmentLengthSec@NUMERIC,MeanUnvoicedSegmentLength@NUMERIC,StddevUnvoicedSegmentLength@NUMERIC,class@NUMERIC
1,0,unknown,31.10907,0.2423342,25.04494,33.75088,36.37808,11.33314,240.3174,355.5152,116.2134,101.8412,1.024143,0.7543967,0.3044086,0.8429737,1.621105,1.316696,17.53496,10.72677,14.06404,8.105197,0.05532412,1.824658,1.468904,0.8565945,5.273948,1.201917,5.819238,2.222146,28.17552,0.3965775,635.7225,0.2932515,1323.941,0.1360146,-81.47903,-1.089593,1697.661,0.1646573,-86.65955,-0.9322165,2824.849,0.1340711,-92.35629,-0.8278871,-16.64701,-0.41471,27.19723,0.3438126,0.05215622,0.7887756,-0.02461153,-0.4738994,-8.211383,15.48913,0.0006553146,-0.008947976,3.420074,3.351955,0.1802222,0.1807514,0.1064634,0.1086544,
1,1,unknown,32.53749,0.2224678,32.22012,34.52576,37.32208,5.101955,464.5188,601.9138,184.1516,375.3817,1.060733,0.7093392,0.3133471,0.9413762,1.674532,1.361185,16.97788,9.266792,14.31287,8.133571,0.05284585,1.914346,1.377743,0.8713973,6.38318,0.972837,6.134455,2.199106,28.40566,0.3734872,639.1529,0.2879699,1324.15,0.163958,-81.78777,-1.080673,1708.366,0.1678867,-85.62436,-0.940488,2855.326,0.136157,-91.76093,-0.8276368,-17.55167,-0.4333272,27.78571,0.3555022,0.05534961,0.7036589,-0.02461981,-0.489386,-7.814881,15.05574,0.0005342129,-0.008303487,3.766413,3.048147,0.2019318,0.2150521,0.1155,0.1023829,
1,2,unknown,31.83311,0.2446102,30.30073,34.43011,36.93291,6.632175,224.9995,229.2561,114.8475,134.0524,1.086053,0.7324023,0.3159131,0.9438505,1.698633,1.38272,18.9359,10.88635,14.63543,8.090715,0.04901233,2.049867,1.385002,0.8645705,5.797661,1.114968,6.491812,2.167207,29.18323,0.3902881,647.5536,0.2857938,1306.29,0.1502621,-76.87277,-1.127661,1722.479,0.1613374,-81.95482,-0.9635109,2914.511,0.1303658,-88.42372,-0.841144,-17.19326,-0.4289224,27.41758,0.3606121,0.0533363,0.7994589,-0.02392805,-0.4854764,-7.698572,14.46164,0.002998588,-0.009569434,3.68947,3.312789,0.1910465,0.1859234,0.09910256,0.08357687,
1,3,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0790202,1.508296,0.001945272,0.002537092,0.2799883,0.278043,1.406945,0.0,0.04449606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.37558,51.44119,-0.0003376049,0.007574846,3.846154,0.0,0.0,0.0,0.2,0.0,
1,4,unknown,32.48877,0.2227074,32.2177,34.7085,37.14669,4.928989,289.2747,303.0694,142.934,229.0323,1.077823,0.742849,0.3219575,0.9126526,1.657001,1.335043,19.83975,13.6559,14.15351,8.6276,0.04579217,1.908493,1.344129,0.8687903,6.146367,0.9874938,6.571275,1.856339,28.78556,0.3589637,625.5394,0.2895306,1322.131,0.159674,-85.05644,-1.054995,1687.456,0.1640465,-88.75977,-0.9203622,2816.345,0.1223907,-94.57868,-0.8160298,-17.1051,-0.420526,27.67064,0.3372812,0.05599279,0.739952,-0.0247499,-0.463902,-7.945628,15.35888,0.001653557,-0.009203992,3.347732,2.812838,0.2139744,0.2098127,0.1257333,0.1258483,
1,5,unknown,31.75904,0.2441341,26.58101,34.21147,36.93195,10.35094,272.8724,436.4911,81.62942,78.61743,1.058884,0.7458197,0.2996581,0.9234074,1.656644,1.356986,17.74792,10.58142,14.45257,7.91011,0.05101304,1.834961,1.433704,0.8860703,5.685585,1.11934,6.589751,2.680501,28.56015,0.4464061,635.4048,0.3067343,1294.013,0.1591231,-80.32303,-1.099487,1703.356,0.1685431,-85.42879,-0.9399537,2907.477,0.1325167,-91.61845,-0.826173,-17.07779,-0.4355743,27.34808,0.3614642,0.0523419,0.8018106,-0.02330857,-0.5258116,-7.360156,14.63925,-7.432335e-05,-0.007710929,3.707865,3.153153,0.1952381,0.2074647,0.1113158,0.1047722,
1,6,unknown,31.39836,0.2685205,25.65696,34.09091,37.29277,11.63582,212.3731,200.0163,70.72301,61.26926,1.028853,0.7373739,0.3029675,0.8630124,1.62949,1.326522,17.31144,9.954605,14.89033,8.697948,0.04981965,1.903237,1.286672,0.8408642,5.60197,1.204381,7.169831,2.199158,29.13667,0.4422591,635.5951,0.2984134,1323.649,0.1796807,-73.93293,-1.158393,1696.442,0.162581,-79.31346,-0.9738737,2923.921,0.1295152,-85.94373,-0.8453084,-17.02937,-0.4182592,27.96161,0.3413123,0.04753666,0.9118376,-0.02183812,-0.522164,-7.407608,14.6734,0.002780487,-0.008280141,3.688213,3.320611,0.195977,0.1989482,0.09810811,0.08570339,
1,7,unknown,31.78763,0.2464938,24.25527,34.20707,37.33367,13.0784,367.4049,482.9514,223.224,482.0045,1.0944,0.771954,0.3099667,0.9070925,1.761959,1.451993,18.94848,11.06056,14.85332,8.202465,0.05178488,1.781229,1.311882,0.8572669,6.016883,1.037701,8.222021,1.898925,29.28783,0.3373563,645.921,0.2957758,1311.265,0.1596788,-82.0695,-1.075641,1702.064,0.1629277,-86.47247,-0.9375252,2929.112,0.1238404,-92.84483,-0.8215035,-16.92423,-0.4167252,27.39067,0.3443125,0.05302591,0.7713302,-0.02259803,-0.5151699,-7.482645,14.37599,0.002723815,-0.008475906,3.541824,3.023432,0.201625,0.2067574,0.1154667,0.111598,
1,8,unknown,30.79404,0.2854639,21.71326,33.99736,37.13923,15.42597,247.019,272.3038,83.85239,91.12022,1.087494,0.7616097,0.3137639,0.8751774,1.768072,1.454308,18.79146,10.4274,14.98717,8.890021,0.05868702,1.691217,1.465282,0.833857,4.967686,1.364933,6.635555,2.622373,28.04796,0.4253237,640.491,0.3050532,1312.612,0.1713015,-76.02652,-1.141128,1698.114,0.1693817,-81.24907,-0.9732088,2892.952,0.125453,-87.12157,-0.8582026,-16.56024,-0.4294717,26.95545,0.3539065,0.04527519,0.9664313,-0.02254106,-0.5303179,-7.670256,14.70056,0.0007413222,-0.009573592,3.302226,3.128371,0.2044828,0.2188253,0.1035443,0.0833938,
1,9,unknown,32.06243,0.2452481,28.21802,34.81675,37.27673,9.058714,235.3764,296.9205,174.1647,380.4835,1.046293,0.788321,0.3116802,0.8221084,1.635603,1.323923,19.1358,12.45166,15.16076,9.634818,0.04817285,1.827502,1.457185,0.8605935,5.61849,1.167083,5.911902,2.489549,28.7024,0.3616961,632.4459,0.3102494,1339.88,0.1616441,-85.10933,-1.049639,1678.13,0.1763345,-87.11901,-0.9327508,2827.296,0.1333007,-93.3424,-0.8201149,-16.9568,-0.4113421,28.08313,0.339886,0.05270908,0.777567,-0.02553181,-0.465922,-8.318167,15.8184,-0.0003135078,-0.00994753,3.239741,3.140794,0.1925287,0.2047888,0.1180519,0.1044222,
